priority,classification,file_path,slug,category,publication_date,body_word_count,title,reason,source_status,cannibalization_status,recommended_action
"P1","A","src/articles/business/7-essential-hr-software-features-you-cant-ignore.md","7-essential-hr-software-features-you-cant-ignore","Business","2026-08-29T11:31:15.000Z",129,"HR Leaders Urged to Adopt Seven Core Software Features for Efficiency","High-value search query / commercial topic with severely compressed (<140 words) body text.","SOURCE VERIFICATION REQUIRED","NONE","ENRICH_P1"
"","C","src/articles/business/arizona-home-lost-to-hoa-foreclosure-over-977-debt-owner-claims.md","arizona-home-lost-to-hoa-foreclosure-over-977-debt-owner-claims","Business","2026-09-16T12:40:34.000Z",53,"Arizona Home Lost to HOA Foreclosure Over $977 Debt, Owner Claims","Single commercial product listing, fleeting social item, or ultra-niche micro-notice with minimal search shelf-life.","N/A","NONE","LOW_PRIORITY_MAINTAIN"
"P1","A","src/articles/business/asian-lng-demand-set-to-fall-310-as-prices-surge-after-qatarenergy-halt.md","asian-lng-demand-set-to-fall-310-as-prices-surge-after-qatarenergy-halt","Business","2026-09-17T18:40:35.000Z",116,"Asian LNG Demand Set to Fall 3‑10% as Prices Surge After QatarEnergy Halt","High-value search query / commercial topic with severely compressed (<140 words) body text.","SOURCE VERIFICATION REQUIRED","NONE","ENRICH_P1"
"P1","A","src/articles/business/bank-strike-hits-assam-demands-fiveday-week-pension-overhaul-pli-repeal.md","bank-strike-hits-assam-demands-fiveday-week-pension-overhaul-pli-repeal","Business","2026-09-12T16:55:59.000Z",77,"Bank strike hits Assam, demands five‑day week, pension overhaul, PLI repeal","High-value search query / commercial topic with severely compressed (<140 words) body text.","SOURCE VERIFICATION REQUIRED","NONE","ENRICH_P1"
"P1","A","src/articles/business/bengalurus-paid-parking-plan-20-roads-set-for-rollout-3-crore-annual-revenue-expected.md","bengalurus-paid-parking-plan-20-roads-set-for-rollout-3-crore-annual-revenue-expected","Business","2026-08-30T14:43:41.000Z",146,"Bengaluru launches paid parking on 20 central roads, targeting ₹3 cr annual revenue","Valuable technical or business topic that would benefit from structured background and context.","SOURCE VERIFICATION REQUIRED","NONE","ENRICH_P1"
"P1","A","src/articles/business/boomers-flock-to-five-high-yield-dividend-stocks-claim-no-yield-traps.md","boomers-flock-to-five-high-yield-dividend-stocks-claim-no-yield-traps","Business","2026-09-18T00:40:37.000Z",78,"Boomers Flock to Five High-Yield Dividend Stocks, Claim No Yield Traps","High-value search query / commercial topic with severely compressed (<140 words) body text.","SOURCE VERIFICATION REQUIRED","NONE","ENRICH_P1"
"P1","A","src/articles/business/butterhands-adds-second-gurugram-outlet-with-new-caf-at-dlf-summit-plaza.md","butterhands-adds-second-gurugram-outlet-with-new-caf-at-dlf-summit-plaza","Business","2026-09-15T00:40:37.000Z",85,"ButterHands adds second Gurugram outlet with new café at DLF Summit Plaza","High-value search query / commercial topic with severely compressed (<140 words) body text.","SOURCE VERIFICATION REQUIRED","NONE","ENRICH_P1"
"P1","A","src/articles/business/cbic-to-push-msmes-into-emi-scheme-as-enrolments-stay-under-1000.md","cbic-to-push-msmes-into-emi-scheme-as-enrolments-stay-under-1000","Business","2026-09-16T18:40:34.000Z",107,"CBIC to push MSMEs into EMI scheme as enrolments stay under 1,000","High-value search query / commercial topic with severely compressed (<140 words) body text.","SOURCE VERIFICATION REQUIRED","NONE","ENRICH_P1"
"P1","A","src/articles/business/chatham-county-weighs-new-parking-plan-requirement-for-shortterm-rentals.md","chatham-county-weighs-new-parking-plan-requirement-for-shortterm-rentals","Business","2026-09-12T10:55:56.000Z",88,"Chatham County weighs new parking plan requirement for short‑term rentals","High-value search query / commercial topic with severely compressed (<140 words) body text.","SOURCE VERIFICATION REQUIRED","NONE","ENRICH_P1"
"P2","A","src/articles/business/cipla-pharma-license-cancellation-fda-withdraws-order-after-hc-raps-it-for-going-over.md","cipla-pharma-license-cancellation-fda-withdraws-order-after-hc-raps-it-for-going-over","Business","2026-08-29T20:41:55.000Z",121,"India's FDA pulls Cipla license cancellation after High Court rebuke","High-value search query / commercial topic with severely compressed (<140 words) body text.","SOURCE VERIFICATION REQUIRED","NONE","ENRICH_P2"
"","E","src/articles/business/comso-demands-transparent-st-representation-in-mrb-officer-recruitment.md","comso-demands-transparent-st-representation-in-mrb-officer-recruitment","Business","2026-09-12T06:56:07.000Z",84,"CoMSO demands transparent ST representation in MRB officer recruitment","Specialized industrial/engineering terminology or legal notice requiring external verification.","N/A","NONE","EDITORIAL_MANUAL_REVIEW"
