URL,title,current_word_count,indexed_status,clicks,impressions,CTR,average_position,top_query,query_overlap,current_classification,recommended_next_action,confidence,evidence_source
"https://thesamachardaily.in/articles/business/7-essential-hr-software-features-you-cant-ignore/","HR Leaders Urged to Adopt Seven Core Software Features for Efficiency","129","INDEXABLE (LIVE)","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","INSUFFICIENT_DATA","NONE","B — TARGETED ENRICHMENT CANDIDATE","SOURCE_VERIFICATION_THEN_ENRICH","HIGH","PHASE_6C_AUDIT / REPOSITORY_EVIDENCE"
"https://thesamachardaily.in/articles/business/arizona-home-lost-to-hoa-foreclosure-over-977-debt-owner-claims/","Arizona Home Lost to HOA Foreclosure Over $977 Debt, Owner Claims","53","INDEXABLE (LIVE)","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","INSUFFICIENT_DATA","NONE","A — KEEP AS IS","PRESERVE_LOW_PRIORITY","HIGH","PHASE_6C_AUDIT / REPOSITORY_EVIDENCE"
"https://thesamachardaily.in/articles/business/asian-lng-demand-set-to-fall-310-as-prices-surge-after-qatarenergy-halt/","Asian LNG Demand Set to Fall 3‑10% as Prices Surge After QatarEnergy Halt","116","INDEXABLE (LIVE)","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","INSUFFICIENT_DATA","NONE","B — TARGETED ENRICHMENT CANDIDATE","SOURCE_VERIFICATION_THEN_ENRICH","HIGH","PHASE_6C_AUDIT / REPOSITORY_EVIDENCE"
"https://thesamachardaily.in/articles/business/bank-strike-hits-assam-demands-fiveday-week-pension-overhaul-pli-repeal/","Bank strike hits Assam, demands five‑day week, pension overhaul, PLI repeal","77","INDEXABLE (LIVE)","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","INSUFFICIENT_DATA","NONE","B — TARGETED ENRICHMENT CANDIDATE","SOURCE_VERIFICATION_THEN_ENRICH","HIGH","PHASE_6C_AUDIT / REPOSITORY_EVIDENCE"
"https://thesamachardaily.in/articles/business/bengalurus-paid-parking-plan-20-roads-set-for-rollout-3-crore-annual-revenue-expected/","Bengaluru launches paid parking on 20 central roads, targeting ₹3 cr annual revenue","146","INDEXABLE (LIVE)","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","INSUFFICIENT_DATA","NONE","B — TARGETED ENRICHMENT CANDIDATE","SOURCE_VERIFICATION_THEN_ENRICH","HIGH","PHASE_6C_AUDIT / REPOSITORY_EVIDENCE"
"https://thesamachardaily.in/articles/business/boomers-flock-to-five-high-yield-dividend-stocks-claim-no-yield-traps/","Boomers Flock to Five High-Yield Dividend Stocks, Claim No Yield Traps","78","INDEXABLE (LIVE)","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","INSUFFICIENT_DATA","NONE","B — TARGETED ENRICHMENT CANDIDATE","SOURCE_VERIFICATION_THEN_ENRICH","HIGH","PHASE_6C_AUDIT / REPOSITORY_EVIDENCE"
"https://thesamachardaily.in/articles/business/butterhands-adds-second-gurugram-outlet-with-new-caf-at-dlf-summit-plaza/","ButterHands adds second Gurugram outlet with new café at DLF Summit Plaza","85","INDEXABLE (LIVE)","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","INSUFFICIENT_DATA","NONE","B — TARGETED ENRICHMENT CANDIDATE","SOURCE_VERIFICATION_THEN_ENRICH","HIGH","PHASE_6C_AUDIT / REPOSITORY_EVIDENCE"
"https://thesamachardaily.in/articles/business/cbic-to-push-msmes-into-emi-scheme-as-enrolments-stay-under-1000/","CBIC to push MSMEs into EMI scheme as enrolments stay under 1,000","107","INDEXABLE (LIVE)","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","INSUFFICIENT_DATA","NONE","B — TARGETED ENRICHMENT CANDIDATE","SOURCE_VERIFICATION_THEN_ENRICH","HIGH","PHASE_6C_AUDIT / REPOSITORY_EVIDENCE"
"https://thesamachardaily.in/articles/business/chatham-county-weighs-new-parking-plan-requirement-for-shortterm-rentals/","Chatham County weighs new parking plan requirement for short‑term rentals","88","INDEXABLE (LIVE)","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","INSUFFICIENT_DATA","NONE","B — TARGETED ENRICHMENT CANDIDATE","SOURCE_VERIFICATION_THEN_ENRICH","HIGH","PHASE_6C_AUDIT / REPOSITORY_EVIDENCE"
"https://thesamachardaily.in/articles/business/cipla-pharma-license-cancellation-fda-withdraws-order-after-hc-raps-it-for-going-over/","India's FDA pulls Cipla license cancellation after High Court rebuke","121","INDEXABLE (LIVE)","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","UNAVAILABLE","INSUFFICIENT_DATA","NONE","B — TARGETED ENRICHMENT CANDIDATE","LATER_PHASE_BACKLOG","MEDIUM","PHASE_6C_AUDIT / REPOSITORY_EVIDENCE"
